0,1,2
400000000,2012,2012-04-24
1000000,2012,2012-04-19
270000000,2012,2012-03-21
15000000,2012,2012-03-21
120000000,2012,2012-03-21
16500000,2012,2012-03-20
1500000,2012,2012-03-15
9600000,2012,2012-03-15
5000000,2012,2012-02-21
800000,2012,2012-02-07
1050000,2012,2012-02-07
2400000,2012,2012-01-18
1150000,2012,2012-01-11
1700000,2012,2012-01-11
900000,2011,2011-12-20
800000,2011,2011-12-20
25000000,2011,2011-12-15
8000000,2011,2011-12-14
25000000,2011,2011-12-14
8000000,2011,2011-12-06
5000000,2011,2011-10-26
7600000,2011,2011-10-26
14000000,2011,2011-10-26
800000,2011,2011-10-18
8000000,2011,2011-09-29
10000000,2011,2011-09-27
4700000,2011,2011-08-29
6000000,2011,2011-08-29
1050000,2011,2011-08-16
95000000,2011,2011-07-20
450000000,2011,2011-07-20
1100000,2011,2011-07-14
20000000,2011,2011-06-29
1200000,2011,2011-06-28
4800000,2011,2011-06-11
10000000,2011,2011-06-08
1500000,2011,2011-05-24
660000,2011,2011-05-12
4900000,2011,2011-04-20
1750000,2011,2011-04-20
1150000,2011,2011-04-20
7300000,2011,2011-04-13
155000000,2011,2011-03-16
2050000,2011,2011-03-09
1150000,2011,2011-02-16
1500000,2011,2011-01-25
3700000,2011,2011-01-19
32000000,2011,2011-01-19
700000,2011,2011-01-18
7500000,2011,2011-01-18
2150000,2010,2010-12-22
9000000,2010,2010-12-14
195000000,2010,2010-12-08
6000000,2010,2010-12-07
1000000,2010,2010-11-11
1500000,2010,2010-11-11
1120000,2010,2010-10-14
1950000,2010,2010-10-13
2900000,2010,2010-10-13
50000000,2010,2010-09-16
22000000,2010,2010-09-09
50000000,2010,2010-09-07
15500000,2010,2010-08-27
5000000,2010,2010-08-25
800000,2010,2010-08-25
900000,2010,2010-08-25
16000000,2010,2010-07-27
4500000,2010,2010-07-27
6000000,2010,2010-07-27
62000000,2010,2010-07-21
335000000,2010,2010-07-21
11500000,2010,2010-07-21
29000000,2010,2010-07-21
1350000,2010,2010-07-07
150000,2010,2010-07-07
100000,2010,2010-07-07
150000,2010,2010-07-07
100000,2010,2010-07-07
100000,2010,2010-07-07
150000,2010,2010-07-07
100000,2010,2010-07-07
200000,2010,2010-07-07
100000,2010,2010-07-07
100000,2010,2010-07-07
200000,2010,2010-07-07
150000,2010,2010-07-07
45000000,2010,2010-07-02
1300000,2010,2010-07-02
256000000,2010,2010-06-29
13000000,2010,2010-06-29
19000000,2010,2010-06-29
50000000,2010,2010-06-29
55000000,2010,2010-06-09
60000000,2010,2010-06-09
6000000,2010,2010-05-13
1050000,2010,2010-05-12
